DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
160375,160375,UT,22:00:00 09-Nov-2016,User,,21.5512,-157.8138,,,,,,,,,,
160375,160375,UT,03:32:52.440001 10-Nov-2016,FastGPS,,21.5628,-157.8254,,,,,,,,,,
160375,160375,UT,08:48:14.990001 10-Nov-2016,FastGPS,,21.5968,-157.8602,,,,,,,,,,
160375,160375,UT,03:39:06.36 11-Nov-2016,FastGPS,,21.7198,-157.9342,,,,,,,,,,
160375,160375,UT,05:04:09 11-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,05:05:31 11-Nov-2016,Argos,1,21.7394,-157.9206,569,1307,247,116,,,,,,
160375,160375,UT,06:57:50 11-Nov-2016,Argos,B,21.7395,-157.9207,8206,8926,7543,98,,,,,,
160375,160375,UT,07:44:54.530001 11-Nov-2016,FastGPS,,21.7316,-157.9646,,,,,,,,,,
160375,160375,UT,12:00:23 11-Nov-2016,Argos,B,21.7588,-157.9818,7137,14491,3514,46,,,,,,
160375,160375,UT,12:34:04 11-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,16:13:42 11-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,16:38:00 11-Nov-2016,Argos,B,21.7577,-158.0048,4381,5285,3631,56,,,,,,
160375,160375,UT,03:49:28 12-Nov-2016,Argos,B,21.7645,-158.0410,6920,7754,6175,102,,,,,,
160375,160375,UT,04:49:20 12-Nov-2016,Argos,A,21.7193,-158.0545,1969,35744,108,63,,,,,,
160375,160375,UT,05:34:37 12-Nov-2016,Argos,B,21.7306,-158.0406,2006,6324,636,66,,,,,,
160375,160375,UT,05:34:39.670001 12-Nov-2016,FastGPS,,21.7507,-157.9928,,,,,,,,,,
160375,160375,UT,05:38:31 12-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,05:54:20 12-Nov-2016,Argos,B,21.7449,-158.0179,1509,3068,742,78,,,,,,
160375,160375,UT,06:42:59 12-Nov-2016,Argos,B,21.7472,-157.9585,3385,5522,2075,68,,,,,,
160375,160375,UT,13:22:38 12-Nov-2016,Argos,0,21.7291,-157.8367,6202,99625,386,85,,,,,,
160375,160375,UT,00:41:40 13-Nov-2016,Argos,B,21.7034,-157.7090,15118,44860,5094,94,,,,,,Lon > 4 deviations from mean
160375,160375,UT,02:20:45 13-Nov-2016,Argos,B,21.7269,-157.9934,9897,16895,5798,105,,,,,,
160375,160375,UT,04:38:52 13-Nov-2016,Argos,B,21.7439,-158.0619,8755,11797,6497,102,,,,,,
160375,160375,UT,08:04:57 13-Nov-2016,Argos,B,21.7486,-158.1307,6635,62846,700,97,,,,,,
160375,160375,UT,08:05:26 13-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,08:05:28.390001 13-Nov-2016,FastGPS,,21.7459,-158.0212,,,,,,,,,,
160375,160375,UT,02:09:44 14-Nov-2016,Argos,B,21.7255,-158.0343,4354,7204,2631,57,,,,,,
160375,160375,UT,02:09:46.030001 14-Nov-2016,FastGPS,,21.7267,-158.0117,,,,,,,,,,
160375,160375,UT,02:30:35.000001 14-Nov-2016,FastGPS,,21.7335,-158.0166,,,,,,,,,,
160375,160375,UT,03:00:44 14-Nov-2016,Argos,B,21.7390,-158.0397,4931,19603,1240,80,,,,,,
160375,160375,UT,03:12:01 14-Nov-2016,Argos,B,21.7206,-158.0685,5458,19766,1507,61,,,,,,
160375,160375,UT,03:40:33.57 14-Nov-2016,FastGPS,,21.7439,-158.0232,,,,,,,,,,
160375,160375,UT,04:02:53 14-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,04:25:14 14-Nov-2016,Argos,A,21.7460,-158.0324,3473,17050,707,97,,,,,,
160375,160375,UT,04:46:40 14-Nov-2016,Argos,2,21.7314,-158.0194,414,2272,75,75,,,,,,
160375,160375,UT,04:49:25 14-Nov-2016,Argos,B,21.7320,-158.0194,452,710,287,76,,,,,,
160375,160375,UT,05:51:03 14-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,06:08:51 14-Nov-2016,Argos,B,21.7396,-158.0092,1476,1658,1313,76,,,,,,
160375,160375,UT,07:43:11 14-Nov-2016,Argos,0,21.7215,-158.0185,5411,127352,229,70,,,,,,
160375,160375,UT,08:45:50.55 14-Nov-2016,FastGPS,,21.7550,-157.9855,,,,,,,,,,
160375,160375,UT,09:20:45 14-Nov-2016,Argos,B,21.7229,-158.0103,4800,10965,2101,73,,,,,,
160375,160375,UT,10:27:16.83 14-Nov-2016,FastGPS,,21.7410,-157.9547,,,,,,,,,,
160375,160375,UT,11:41:02.74 14-Nov-2016,FastGPS,,21.7481,-157.9628,,,,,,,,,,
160375,160375,UT,13:18:25 14-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,13:46:47.05 14-Nov-2016,FastGPS,,21.7531,-157.9779,,,,,,,,,,
160375,160375,UT,15:33:26 14-Nov-2016,Argos,B,21.7237,-157.9720,5330,8100,3507,105,,,,,,
160375,160375,UT,15:56:20 14-Nov-2016,Argos,B,21.7219,-157.9785,4236,196105,91,89,,,,,,
160375,160375,UT,20:05:03 14-Nov-2016,Argos,B,21.7197,-157.9737,3794,9662,1490,90,,,,,,
160375,160375,UT,04:12:06.45 15-Nov-2016,FastGPS,,21.7459,-158.0114,,,,,,,,,,
160375,160375,UT,04:14:21 15-Nov-2016,Argos,2,21.7445,-158.0118,307,893,105,97,,,,,,
160375,160375,UT,04:16:38 15-Nov-2016,Argos,1,21.7456,-158.0140,684,3499,133,76,,,,,,
160375,160375,UT,04:21:27 15-Nov-2016,Argos,B,21.7379,-158.0171,441,3237,60,118,,,,,,
160375,160375,UT,04:43:35.43 15-Nov-2016,FastGPS,,21.7330,-158.0241,,,,,,,,,,
160375,160375,UT,04:44:11 15-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,06:02:38 15-Nov-2016,Argos,B,21.7425,-158.0076,2281,2690,1933,97,,,,,,
160375,160375,UT,06:02:38 15-Nov-2016,Argos,B,21.7311,-158.0471,825,5199,130,147,,,,,,
160375,160375,UT,06:05:08.23 15-Nov-2016,FastGPS,,21.7429,-158.0661,,,,,,,,,,
160375,160375,UT,06:36:15.46 15-Nov-2016,FastGPS,,21.7419,-158.0763,,,,,,,,,,
160375,160375,UT,07:13:22 15-Nov-2016,Argos,B,21.7324,-158.0439,1398,1872,1043,141,,,,,,
160375,160375,UT,07:50:01 15-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,09:02:05.38 15-Nov-2016,FastGPS,,21.7349,-158.0865,,,,,,,,,,
160375,160375,UT,09:05:10 15-Nov-2016,Argos,B,21.7316,-158.0414,1979,2364,1656,130,,,,,,
160375,160375,UT,10:46:41.76 15-Nov-2016,FastGPS,,21.7169,-158.0525,,,,,,,,,,
160375,160375,UT,12:48:25 15-Nov-2016,Argos,B,21.7258,-158.0309,2710,3109,2361,92,,,,,,
160375,160375,UT,14:16:05.54 15-Nov-2016,FastGPS,,21.7302,-158.0561,,,,,,,,,,
160375,160375,UT,15:14:09.27 15-Nov-2016,FastGPS,,21.7204,-158.0681,,,,,,,,,,
160375,160375,UT,15:27:37 15-Nov-2016,Argos,B,21.7145,-158.0363,2810,4715,1675,92,,,,,,
160375,160375,UT,15:41:03 15-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,15:41:22.98 15-Nov-2016,FastGPS,,21.7080,-158.0674,,,,,,,,,,
160375,160375,UT,01:48:12 16-Nov-2016,Argos,B,21.7268,-158.0151,2722,147918,50,95,,,,,,
160375,160375,UT,03:49:05 16-Nov-2016,Argos,2,21.7026,-158.0531,391,1062,143,70,,,,,,
160375,160375,UT,03:49:05 16-Nov-2016,Argos,2,21.6985,-158.0399,262,487,140,168,,,,,,
160375,160375,UT,03:49:36 16-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,04:05:47 16-Nov-2016,Argos,B,21.6990,-158.0404,899,968,834,103,,,,,,
160375,160375,UT,05:04:38.910001 16-Nov-2016,FastGPS,,21.7217,-158.0541,,,,,,,,,,
160375,160375,UT,05:47:59 16-Nov-2016,Argos,A,21.7405,-158.0505,278,655,118,134,,,,,,
160375,160375,UT,06:57:54 16-Nov-2016,Argos,2,21.7492,-158.0470,455,1098,188,20,,,,,,
160375,160375,UT,10:03:29.14 16-Nov-2016,FastGPS,,21.7366,-157.9776,,,,,,,,,,
160375,160375,UT,12:40:36 16-Nov-2016,Argos,A,21.6992,-157.8994,646,2639,158,178,,,,,,
160375,160375,UT,14:55:30 16-Nov-2016,Argos,B,21.6989,-157.8882,2913,3199,2653,104,,,,,,
160375,160375,UT,16:20:28 16-Nov-2016,Argos,B,21.6396,-157.9071,2135,4742,960,102,,,,,,
160375,160375,UT,16:55:58.500001 16-Nov-2016,FastGPS,,21.5994,-157.8808,,,,,,,,,,
160375,160375,UT,17:55:12.580001 16-Nov-2016,FastGPS,,21.6169,-157.8646,,,,,,,,,,
160375,160375,UT,18:01:37 16-Nov-2016,Argos,B,21.6065,-157.8857,1428,23478,86,61,,,,,,
160375,160375,UT,18:18:31 16-Nov-2016,Argos,B,21.6256,-157.8956,2185,2355,2026,92,,,,,,
160375,160375,UT,01:43:56 17-Nov-2016,Argos,B,21.5560,-157.8726,3274,4181,2564,127,,,,,,
160375,160375,UT,01:43:56 17-Nov-2016,Mote,,21.5083,-158.1440,,,,,,,,,,
160375,160375,UT,05:06:52 17-Nov-2016,Argos,A,21.7246,-158.0019,217,1314,35,94,,,,,,
160375,160375,UT,05:06:52 17-Nov-2016,Argos,B,21.6793,-157.9655,3813,6630,2192,18,,,,,,
160375,160375,UT,07:18:42.330001 17-Nov-2016,FastGPS,,21.7389,-158.0088,,,,,,,,,,
160375,160375,UT,07:26:23 17-Nov-2016,Argos,B,21.7250,-158.0226,1694,1988,1443,93,,,,,,
160375,160375,UT,08:15:32 17-Nov-2016,Argos,0,21.7603,-157.9836,2021,14994,272,71,,,,,,
160375,160375,UT,14:05:40 17-Nov-2016,Argos,A,21.6716,-157.8683,993,9930,99,97,,,,,,
160375,160375,UT,16:08:24.900001 17-Nov-2016,FastGPS,,21.6300,-157.8823,,,,,,,,,,
160375,160375,UT,16:09:52 17-Nov-2016,Argos,B,21.6408,-157.8557,2358,57457,96,72,,,,,,
160375,160375,UT,16:24:18 17-Nov-2016,Argos,A,21.6198,-157.9087,916,9997,83,94,,,,,,
160375,160375,UT,17:36:26 17-Nov-2016,Argos,B,21.6178,-157.8868,1184,5050,277,130,,,,,,
160375,160375,UT,18:08:12 17-Nov-2016,Argos,B,21.5835,-157.8615,1870,6359,549,78,,,,,,
160375,160375,UT,03:40:47 18-Nov-2016,Argos,B,21.3807,-157.5657,6188,8042,4761,110,,,,,,
160375,160375,UT,04:33:44 18-Nov-2016,Argos,1,21.3340,-157.6206,1318,22756,76,109,,,,,,
160375,160375,UT,04:42:12 18-Nov-2016,Argos,A,21.3470,-157.6489,374,1431,97,60,,,,,,
160375,160375,UT,17:16:14 18-Nov-2016,Argos,B,21.0676,-157.6213,2968,6316,1394,85,,,,,,
160375,160375,UT,17:16:14 18-Nov-2016,Argos,B,21.0642,-157.6193,2795,8210,951,82,,,,,,
160375,160375,UT,15:51:08 20-Nov-2016,Argos,B,21.0608,-157.3095,5465,53887,554,105,,,,,,
160375,160375,UT,04:41:05 21-Nov-2016,Argos,B,21.0421,-157.1683,7259,9874,5336,114,,,,,,
160375,160375,UT,06:32:33 21-Nov-2016,Argos,B,21.0753,-157.1663,8893,17137,4615,114,,,,,,
160375,160375,UT,06:53:23 21-Nov-2016,Argos,B,21.1068,-157.1346,4890,254143,94,121,,,,,,
160375,160375,UT,07:46:01 21-Nov-2016,Argos,B,21.1170,-157.1283,4402,21316,909,120,,,,,,
160375,160375,UT,17:17:43 21-Nov-2016,Argos,B,21.0246,-157.2339,4389,64026,300,128,,,,,,
160375,160375,UT,17:18:49 21-Nov-2016,Argos,B,21.0651,-157.2843,715,1946,262,91,,,,,,
160375,160375,UT,06:39:43 22-Nov-2016,Argos,B,21.1246,-157.3182,3604,4399,2951,36,,,,,,
160375,160375,UT,07:24:11 22-Nov-2016,Argos,B,21.1035,-157.3047,4280,7439,2462,174,,,,,,
160375,160375,UT,18:37:17.95 24-Nov-2016,FastGPS,,20.9877,-156.7370,,,,,,,,,,
160375,160375,UT,03:27:14 25-Nov-2016,Argos,B,21.1576,-157.0059,4120,64187,264,80,,,,,,
160375,160375,UT,05:50:22 25-Nov-2016,Argos,B,21.2066,-156.8247,2578,5413,1227,98,,,,,,
160375,160375,UT,14:17:55 25-Nov-2016,Argos,B,21.2567,-156.6890,4000,5223,3062,115,,,,,,
160375,160375,UT,16:40:35 25-Nov-2016,Argos,A,21.1583,-156.7109,1006,10957,92,103,,,,,,
160375,160375,UT,17:01:31 25-Nov-2016,Argos,B,21.1566,-156.7046,1505,2516,900,103,,,,,,
160375,160375,UT,17:28:26.63 25-Nov-2016,FastGPS,,21.1279,-156.6904,,,,,,,,,,
160375,160375,UT,00:53:55.19 26-Nov-2016,FastGPS,,21.0196,-156.7007,,,,,,,,,,
160375,160375,UT,01:33:10 26-Nov-2016,Argos,B,21.1214,-156.5776,3799,4386,3289,46,,,,,,
160375,160375,UT,03:41:50 26-Nov-2016,Argos,B,20.9994,-156.5133,4837,14782,1582,88,,,,,,
160375,160375,UT,04:07:14.94 26-Nov-2016,FastGPS,,20.9501,-156.7785,,,,,,,,,,
160375,160375,UT,04:38:12 26-Nov-2016,Argos,B,20.9624,-156.5096,5523,17633,1729,91,,,,,,
160375,160375,UT,14:08:10 26-Nov-2016,Argos,B,20.6551,-156.4601,5810,15739,2144,114,,,,,,
160375,160375,UT,15:57:12 27-Nov-2016,Argos,B,20.9272,-156.4344,7363,460598,117,118,,,,,,
160375,160375,UT,04:00:15.06 28-Nov-2016,FastGPS,,20.9664,-156.9654,,,,,,,,,,
160375,160375,UT,04:19:11 28-Nov-2016,Argos,B,20.7576,-156.2677,6741,43126,1053,101,,,,,,
160375,160375,UT,05:59:46 28-Nov-2016,Argos,B,20.7465,-156.4550,21249,104477,4321,115,,,,,,
160375,160375,UT,12:02:16.22 30-Nov-2016,FastGPS,,21.0286,-156.6747,,,,,,,,,,
160375,160375,UT,05:15:17.14 01-Dec-2016,FastGPS,,20.9807,-157.0718,,,,,,,,,,
160375,160375,UT,08:28:39 01-Dec-2016,Argos,B,20.9797,-156.8189,8923,469144,169,92,,,,,,
160375,160375,UT,02:00:22.93 02-Dec-2016,FastGPS,,21.0407,-157.0484,,,,,,,,,,
160375,160375,UT,02:07:51 02-Dec-2016,Argos,2,21.0474,-157.0460,461,1295,164,14,,,,,,
160375,160375,UT,04:28:25 02-Dec-2016,Argos,0,21.0518,-157.1132,5999,23507,1530,44,,,,,,
160375,160375,UT,06:26:49 02-Dec-2016,Argos,2,21.0623,-157.1130,421,1838,96,130,,,,,,
160375,160375,UT,12:59:32 02-Dec-2016,Argos,B,21.0710,-157.2055,2298,3786,1394,77,,,,,,
160375,160375,UT,16:17:08 02-Dec-2016,Argos,B,21.0718,-157.2177,4767,12210,1861,77,,,,,,
160375,160375,UT,16:54:34 02-Dec-2016,Argos,B,21.0596,-157.2244,4651,13513,1601,85,,,,,,
160375,160375,UT,03:29:35 03-Dec-2016,Argos,B,21.0302,-157.4641,5072,20949,1227,83,,,,,,
160375,160375,UT,02:56:58.52 06-Dec-2016,FastGPS,,21.1198,-156.7188,,,,,,,,,,
160375,160375,UT,03:30:23 06-Dec-2016,Argos,B,21.0783,-156.6719,9354,235632,371,153,,,,,,
160375,160375,UT,03:34:32 06-Dec-2016,Argos,B,21.1175,-156.6918,4442,23913,825,152,,,,,,
160375,160375,UT,03:51:51 06-Dec-2016,Argos,B,21.1112,-156.6882,5807,19278,1749,151,,,,,,
160375,160375,UT,04:17:23.04 06-Dec-2016,FastGPS,,21.1540,-156.6916,,,,,,,,,,
160375,160375,UT,05:20:56 06-Dec-2016,Argos,B,21.1517,-156.7196,3019,15937,572,93,,,,,,
160375,160375,UT,05:38:59 06-Dec-2016,Argos,B,21.1536,-156.7247,1420,4420,456,88,,,,,,
160375,160375,UT,06:38:44.72 06-Dec-2016,FastGPS,,21.1655,-156.6928,,,,,,,,,,
160375,160375,UT,06:45:58 06-Dec-2016,Argos,B,21.1523,-156.7284,1502,2561,880,78,,,,,,
160375,160375,UT,08:26:20 06-Dec-2016,Argos,B,21.1194,-156.6984,1285,17374,95,47,,,,,,
160375,160375,UT,16:11:20 06-Dec-2016,Argos,B,21.0442,-156.8091,1162,5888,229,62,,,,,,
160375,160375,UT,16:11:20 06-Dec-2016,Argos,B,21.0659,-156.7166,2332,12147,447,77,,,,,,
160375,160375,UT,04:59:15 07-Dec-2016,Argos,B,21.0852,-157.0232,15833,32627,7682,40,,,,,,
160375,160375,UT,05:15:36 07-Dec-2016,Argos,B,21.0276,-157.0755,11292,22464,5675,34,,,,,,
160375,160375,UT,07:16:09 07-Dec-2016,Argos,B,21.0540,-157.0764,15358,22951,10276,44,,,,,,
160375,160375,UT,07:58:32 07-Dec-2016,Argos,B,21.0513,-157.0783,9158,10635,7885,92,,,,,,
160375,160375,UT,10:36:13.01 07-Dec-2016,FastGPS,,21.0520,-157.0066,,,,,,,,,,
160375,160375,UT,02:38:26 08-Dec-2016,Argos,B,20.9112,-157.1201,4364,7320,2601,65,,,,,,
160375,160375,UT,03:16:10 08-Dec-2016,Argos,0,21.0248,-156.8512,1617,13325,196,100,,,,,,
160375,160375,UT,05:43:58 08-Dec-2016,Argos,B,21.0179,-156.8563,2254,4392,1156,102,,,,,,
160375,160375,UT,06:52:50 08-Dec-2016,Argos,B,21.0148,-156.8642,2246,3981,1267,115,,,,,,
160375,160375,UT,09:22:57 08-Dec-2016,Argos,B,21.0079,-156.8662,2504,3428,1827,96,,,,,,
160375,160375,UT,18:09:33.92 08-Dec-2016,FastGPS,,21.0112,-156.9005,,,,,,,,,,
160375,160375,UT,19:27:41.98 08-Dec-2016,FastGPS,,20.9908,-156.9370,,,,,,,,,,
160375,160375,UT,03:25:41.030001 09-Dec-2016,FastGPS,,21.0064,-156.8596,,,,,,,,,,
160375,160375,UT,04:13:53 09-Dec-2016,Argos,B,20.9720,-156.9006,5208,6004,4517,91,,,,,,
160375,160375,UT,08:02:11.500001 09-Dec-2016,FastGPS,,20.9831,-156.7598,,,,,,,,,,
160375,160375,UT,09:03:08 09-Dec-2016,Argos,B,20.9476,-156.8935,4892,12633,1894,83,,,,,,
160375,160375,UT,13:27:21 09-Dec-2016,Argos,B,20.9332,-156.8970,5009,12091,2074,89,,,,,,
160375,160375,UT,03:54:08 10-Dec-2016,Argos,B,20.8497,-156.9370,5407,25564,1143,97,,,,,,
160375,160375,UT,06:33:48.91 10-Dec-2016,FastGPS,,20.9131,-156.8056,,,,,,,,,,
160375,160375,UT,07:06:29 10-Dec-2016,Argos,B,20.8395,-156.9422,4375,11065,1729,104,,,,,,
160375,160375,UT,17:26:24.59 10-Dec-2016,FastGPS,,20.9958,-156.8816,,,,,,,,,,
160375,160375,UT,17:26:56 10-Dec-2016,Argos,B,20.9031,-156.9820,5209,9248,2934,95,,,,,,
160375,160375,UT,18:44:25 10-Dec-2016,Argos,B,20.9558,-157.0110,4966,17841,1382,84,,,,,,
160375,160375,UT,12:55:57 11-Dec-2016,Argos,B,21.1992,-157.1395,3237,85184,123,91,,,,,,
160375,160375,UT,01:58:48 12-Dec-2016,Argos,B,21.4062,-157.2061,4606,9890,2144,97,,,,,,
160375,160375,UT,03:03:30 12-Dec-2016,Argos,B,21.1953,-156.9933,13450,21500,8414,128,,,,,,Rate of Travel: 8.3 m/s
160375,160375,UT,05:24:49 12-Dec-2016,Argos,B,21.1365,-156.9066,6559,19237,2236,84,,,,,,Rate of Travel: 3.5 m/s
160375,160375,UT,01:38:34 13-Dec-2016,Argos,B,21.1399,-156.9114,12568,16752,9429,53,,,,,,
160375,160375,UT,04:01:09 13-Dec-2016,Argos,B,21.1456,-156.9219,27329,66515,11228,141,,,,,,
160375,160375,UT,16:28:01 13-Dec-2016,Argos,B,21.0604,-156.7755,5082,18155,1422,70,,,,,,
160375,160375,UT,21:01:12 13-Dec-2016,Argos,B,21.0090,-156.8818,3500,4569,2681,88,,,,,,
160375,160375,UT,03:43:04 14-Dec-2016,Argos,B,20.9834,-156.8761,3763,9616,1472,107,,,,,,
160375,160375,UT,04:07:54.67 14-Dec-2016,FastGPS,,21.0517,-157.0349,,,,,,,,,,
160375,160375,UT,05:36:56.27 14-Dec-2016,FastGPS,,21.0376,-157.0751,,,,,,,,,,
